,customer_id,first_name,last_name,total_sale_thb,shipping_thb,tax_thb,created_date,updated_date
0,51452,Aaren,Volk,279.33000000000004,10.63,10.9,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
1,12720,Aaron,Peret,316.16,5.0,20.01,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
2,14805,Aaron,Masi,56.42,9.1,1.82,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
3,14193,Abba,Capponer,50.72,8.18,1.64,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
4,12459,Abba,Goodbanne,268.57,0.0,17.57,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
5,54240,Abbe,Graalman,72.23,11.65,2.33,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
6,58483,Abbe,Giraudeau,15.47,5.0,0.57,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
7,23018,Abbe,Beathem,20.42,5.0,0.87,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
8,20434,Abbie,Widdocks,21.4,5.0,0.0,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
9,58662,Abbot,Ginie,380.02000000000004,0.0,24.37,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
10,14268,Abby,Goadbie,18.21,5.0,0.51,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
11,28785,Abby,Molden,84.83,13.65,2.93,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
12,25138,Abby,Maestrini,117.26,0.0,7.16,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
13,54972,Abby,Hiskey,108.98,0.0,7.13,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
14,56918,Abdel,Thackeray,125.36,19.82,6.44,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
15,21060,Abdel,Thurman,16.31,5.0,0.46,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
16,55403,Abel,Bordone,96.02,15.29,4.28,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
17,26626,Abel,de Keep,118.06,18.74,5.62,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
18,51825,Abeu,Sunderland,107.59,16.91,6.13,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
19,58738,Abey,Di Biaggi,32.13,5.1,1.53,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
20,56821,Abie,Pechell,561.6899999999999,5.0,32.74,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
21,21524,Abigale,Izakof,170.32,27.47,5.5,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
22,51192,Abner,Donovin,74.7,11.81,3.84,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
23,14604,Abner,Karmel,557.76,0.0,32.81,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
24,59312,Abner,Fann,87.0,13.81,4.14,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
25,13935,Abra,Grishukhin,216.48,0.0,12.73,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
26,59428,Abraham,Aronow,83.77,13.27,4.15,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
27,20485,Abraham,Baldocci,81.67,13.19,3.88,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
28,10595,Abramo,Haddick,124.39,0.0,7.04,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
29,10316,Adah,Nutley,232.28,18.91,9.67,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
30,15489,Adah,Lemarie,157.93,0.0,10.68,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
31,50785,Adam,Matteucci,99.43,16.18,2.35,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
32,11051,Adam,Harler,80.36,12.73,3.98,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
33,13687,Adams,Savary,200.83,0.0,13.58,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
34,50527,Adams,Blenkensop,48.13,7.64,2.29,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
35,58493,Adan,Mighele,189.55,0.0,11.15,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
36,14340,Adara,O'Scollain,60.76,9.55,3.46,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
37,15667,Adara,Priestnall,51.83,8.36,1.67,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
38,15477,Adda,Catonne,107.8,0.0,4.15,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
39,59126,Addia,O'Drought,192.92,0.0,10.92,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
40,56301,Addia,Angell,140.12,0.0,9.17,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
41,14199,Addie,Bullon,262.53999999999996,11.43,11.959999999999999,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
42,22124,Addie,Sheahan,87.93,13.82,5.01,2022-11-10 05:58:54.201459,2022-11-10 05:58:54.201459
